station_id,architecture,target_variable,ablation_group,mae,mae_baseline,delta_mae,n_features
KMSP,xgboost,MinT,NWP_atmosphere,1.2463427686618755,1.2251748521111707,0.0211679165507048,43
KMSP,xgboost,MinT,Physics,1.2908610863264949,1.2251748521111707,0.0656862342153239,41
KMSP,xgboost,MinT,Time,1.2768744244116597,1.2251748521111707,0.0516995723004889,44
KMSP,lightgbm,MinT,ECMWF,1.3170323407770737,1.341032376273419,-0.0240000354963454,44
KMSP,lightgbm,MinT,Bias,1.2998695192025718,1.341032376273419,-0.0411628570708473,44
KMSP,lightgbm,MinT,Lags,1.3315544576501586,1.341032376273419,-0.0094779186232605,42
KMSP,lightgbm,MinT,Rolling,1.3373266370392194,1.341032376273419,-0.0037057392341997,36
KMSP,lightgbm,MinT,NWP_atmosphere,1.3494572296421408,1.341032376273419,0.0084248533687216,43
KMSP,lightgbm,MinT,Physics,1.331012157338826,1.341032376273419,-0.010020218934593,41
KMSP,lightgbm,MinT,Time,1.3047758292508134,1.341032376273419,-0.0362565470226057,44
KMSP,linear,MinT,ECMWF,0.9692499050534078,0.9692499050534072,5.551115123125784e-16,44
KMSP,linear,MinT,Bias,0.9704718741183278,0.9692499050534072,0.0012219690649205,44
KMSP,linear,MinT,Lags,0.9697919488794124,0.9692499050534072,0.0005420438260052,42
KMSP,linear,MinT,Rolling,0.9723301465708531,0.9692499050534072,0.0030802415174459,36
KMSP,linear,MinT,NWP_atmosphere,0.9930436744603756,0.9692499050534072,0.0237937694069683,43
KMSP,linear,MinT,Physics,0.9706259514660536,0.9692499050534072,0.0013760464126464,41
KMSP,linear,MinT,Time,0.9639446864181976,0.9692499050534072,-0.0053052186352097,44
KMSP,mlp,MinT,ECMWF,0.9687478963998358,0.9687478963998352,5.551115123125784e-16,44
KMSP,mlp,MinT,Bias,0.9684385241559468,0.9687478963998352,-0.0003093722438883,44
KMSP,mlp,MinT,Lags,0.9687478963998366,0.9687478963998352,1.3322676295501878e-15,42
KMSP,mlp,MinT,Rolling,0.975489479850907,0.9687478963998352,0.0067415834510716,36
KMSP,mlp,MinT,NWP_atmosphere,1.0031573513054766,0.9687478963998352,0.0344094549056412,43
KMSP,mlp,MinT,Physics,0.9798156667869782,0.9687478963998352,0.0110677703871429,41
KMSP,mlp,MinT,Time,0.9606341118097108,0.9687478963998352,-0.0081137845901245,44
KDTW,catboost,MaxT,ECMWF,1.1226914913249522,1.1691867936595242,-0.046495302334572,44
KDTW,catboost,MaxT,Bias,1.1014896286002716,1.1691867936595242,-0.0676971650592526,44
KDTW,catboost,MaxT,Lags,1.146490794280208,1.1691867936595242,-0.0226959993793161,42
KDTW,catboost,MaxT,Rolling,1.1959662364373669,1.1691867936595242,0.0267794427778425,36
KDTW,catboost,MaxT,NWP_atmosphere,1.125433017632312,1.1691867936595242,-0.0437537760272122,43
KDTW,catboost,MaxT,Physics,1.049010280267339,1.1691867936595242,-0.1201765133921852,41
KDTW,catboost,MaxT,Time,1.132917496174816,1.1691867936595242,-0.0362692974847083,44
KDTW,xgboost,MaxT,ECMWF,0.939669431838314,0.9335422600265098,0.0061271718118043,44
KDTW,xgboost,MaxT,Bias,0.9471073235030724,0.9335422600265098,0.0135650634765625,44
KDTW,xgboost,MaxT,Lags,0.9199980423513768,0.9335422600265098,-0.013544217675133,42
KDTW,xgboost,MaxT,Rolling,0.8985162329884757,0.9335422600265098,-0.035026027038034,36
KDTW,xgboost,MaxT,NWP_atmosphere,0.9334079523002152,0.9335422600265098,-0.0001343077262945,43
KDTW,xgboost,MaxT,Physics,0.8934552648426157,0.9335422600265098,-0.040086995183894,41
KDTW,xgboost,MaxT,Time,0.919544253729086,0.9335422600265098,-0.0139980062974237,44
KDTW,lightgbm,MaxT,ECMWF,1.4512319863891123,1.3851689711067636,0.0660630152823487,44
KDTW,lightgbm,MaxT,Bias,1.4522484818708576,1.3851689711067636,0.067079510764094,44
KDTW,lightgbm,MaxT,Lags,1.4593442927377849,1.3851689711067636,0.0741753216310212,42
KDTW,lightgbm,MaxT,Rolling,1.391222773712712,1.3851689711067636,0.0060538026059484,36
KDTW,lightgbm,MaxT,NWP_atmosphere,1.439358053021294,1.3851689711067636,0.0541890819145303,43
KDTW,lightgbm,MaxT,Physics,1.4505124550136426,1.3851689711067636,0.0653434839068789,41
KDTW,lightgbm,MaxT,Time,1.4027233055673942,1.3851689711067636,0.0175543344606305,44
KDTW,linear,MaxT,ECMWF,0.8368095976098759,0.8371476316835471,-0.0003380340736711,44
KDTW,linear,MaxT,Bias,0.8433989857098934,0.8371476316835471,0.0062513540263462,44
KDTW,linear,MaxT,Lags,0.8372962921292089,0.8371476316835471,0.0001486604456617,42
KDTW,linear,MaxT,Rolling,0.8239222143279462,0.8371476316835471,-0.0132254173556009,36
KDTW,linear,MaxT,NWP_atmosphere,0.8304942906367588,0.8371476316835471,-0.0066533410467882,43
KDTW,linear,MaxT,Physics,0.846775959077292,0.8371476316835471,0.0096283273937448,41
KDTW,linear,MaxT,Time,0.8276437287770578,0.8371476316835471,-0.0095039029064892,44
KDTW,mlp,MaxT,ECMWF,0.8159885882483299,0.8135277284327754,0.0024608598155544,44
